Area Code,Country,Full State,State
201,United States,New Jersey,NJ
202,United States,Washington DC,DC
203,United States,Connecticut,CT
204,Canada,Manitoba,MB
205,United States,Alabama,AL
206,United States,Washington,WA
207,United States,Maine,ME
208,United States,Idaho,ID
209,United States,California,CA
212,United States,New York,NY
213,United States,California,CA
214,United States,Texas,TX
215,United States,Pennsylvania,PA
216,United States,Ohio,OH
217,United States,Illinois,IL
218,United States,Minnesota,MN
219,United States,Indiana,IN
301,United States,Maryland,MD
302,United States,Delaware,DE
303,United States,Colorado,CO
304,United States,West Virginia,WV
305,United States,Florida,FL
306,Canada,Saskatchewan,SK
307,United States,Wyoming,WY
308,United States,Nebraska,NE
309,United States,Illinois,IL
310,United States,California,CA
312,United States,Illinois,IL
313,United States,Michigan,MI
314,United States,Missouri,MO
315,United States,New York,NY
316,United States,Kansas,KS
317,United States,Indiana,IN
318,United States,Louisiana,LA
319,United States,Iowa,IA
401,United States,Rhode Island,RI
402,United States,Nebraska,NE
403,Canada,"Alberta,Yukon,NWTerr",AB
404,United States,Georgia,GA
405,United States,Oklahoma,OK
406,United States,Montana,MT
407,United States,Florida,FL
408,United States,California,CA
409,United States,Texas,TX
410,United States,Maryland,MD
412,United States,Pennsylvania,PA
413,United States,Massachusetts,MA
414,United States,Wisconsin,WI
415,United States,California,CA
416,Canada,Ontario,ON
417,United States,Missouri,MO
418,Canada,Quebec,PQ
419,United States,Ohio,OH
501,United States,Arkansas,AR
502,United States,Kentucky,KY
503,United States,Oregon,OR
504,United States,Louisiana,LA
505,United States,New Mexico,NM
506,Canada,New Brunswick,NB
507,United States,Minnesota,MN
508,United States,Massachusetts,MA
509,United States,Washington,WA
510,United States,California,CA
512,United States,Texas,TX
513,United States,Ohio,OH
514,Canada,Quebec,PQ
515,United States,Iowa,IA
516,United States,New York,NY
517,United States,Michigan,MI
518,United States,New York,NY
519,Canada,Ontario,ON
602,United States,Arizona,AZ
603,United States,New Hampshire,NH
604,Canada,British Columbia,BC
605,United States,South Dakota,SD
606,United States,Kentucky,KY
607,United States,New York,NY
608,United States,Wisconsin,WI
609,United States,New Jersey,NJ
612,United States,Minnesota,MN
613,Canada,Ontario,ON
614,United States,Ohio,OH
615,United States,Tennessee,TN
616,United States,Michigan,MI
617,United States,Massachusetts,MA
618,United States,Illinois,IL
619,United States,California,CA
701,United States,North Dakota,ND
702,United States,Nevada,NV
703,United States,Virginia,VA
704,United States,North Carolina,NC
705,Canada,Ontario,ON
707,United States,California,CA
708,United States,Illinois,IL
709,Canada,"Newfoundland,Labrador",NF
712,United States,Iowa,IA
713,United States,Texas,TX
714,United States,California,CA
715,United States,Wisconsin,WI
716,United States,New York,NY
717,United States,Pennsylvania,PA
718,United States,New York,NY
719,United States,Colorado,CO
801,United States,Utah,UT
802,United States,Vermont,VT
803,United States,South Carolina,SC
805,United States,California,CA
806,United States,Texas,TX
807,Canada,Ontario,ON
808,United States,Hawaii,HI
809,United States,"Puerto Rico, Antilles",PR
812,United States,Indiana,IN
813,United States,Florida,FL
814,United States,Pennsylvania,PA
815,United States,Illinois,IL
816,United States,Missouri,MO
817,United States,Texas,TX
818,United States,California,CA
819,Canada,Quebec,PQ
901,United States,Tennessee,TN
902,Canada,"Nova Scotia, PEI",NS
903,United States,Texas,TX
904,United States,Florida,FL
906,United States,Michigan,MI
907,United States,Alaska,AK
908,United States,New Jersey,NJ
912,United States,Georgia,GA
913,United States,Kansas,KS
914,United States,New York,NY
915,United States,Texas,TX
916,United States,California,CA
918,United States,Oklahoma,OK
